Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY-6266-ARA	CPD1F-420 // CPD1F-462 // CPD-8007 // CPD1F-90 // CPD-8012 // CPD1F-461 // CPD-8034 // CPD1F-431 // CPD-14847 // CPD1F-453 // CPD-15023 // CPD-8067 // CPD-8006 // CPD-8009 // CPD-520 // CPD-8011 // CPD-8033 // CPDQT-26 // CPD-8013 // CPD-5521 // CPD-15021 // PROTON // CPD-15024 // CPD-14820 // UDP-L-RHAMNOSE // UDP // CPD-14849 // CPD1F-437 // CPD-12575	AT4G15260-MONOMER // AT3G21790-MONOMER // AT3G21760-MONOMER // AT2G36750-MONOMER // AT2G36800-MONOMER // AT5G17050-MONOMER // AT3G21750-MONOMER // AT1G73880-MONOMER // AT2G29750-MONOMER // AT2G29730-MONOMER // AT1G07250-MONOMER // AT2G29710-MONOMER // AT3G46660-MONOMER // AT5G17050-MONOMER // AT5G17030-MONOMER // MONOMERQT-4146 // AT4G15280-MONOMER // AT3G21800-MONOMER // AT3G21750-MONOMER // AT2G29730-MONOMER // AT2G15480-MONOMER // AT1G07260-MONOMER // AT1G07240-MONOMER // AT1G01420-MONOMER // AT3G46700-MONOMER // AT5G37950-MONOMER // AT5G38010-MONOMER // AT5G38040-MONOMER // AT3G46680-MONOMER // AT3G46690-MONOMER // AT3G46720-MONOMER // AT3G46650-MONOMER // AT1G51210-MONOMER // AT2G36760-MONOMER // AT2G36770-MONOMER // AT2G36780-MONOMER // AT3G53150-MONOMER // MONOMERQT-4146 // AT5G03490-MONOMER // AT5G59590-MONOMER // AT5G59580-MONOMER // AT3G46670-MONOMER // AT3G46660-MONOMER // AT3G16520-MONOMER // AT2G43840-MONOMER // AT2G36800-MONOMER // AT2G29750-MONOMER // AT2G29740-MONOMER // AT2G26480-MONOMER // AT2G23260-MONOMER // AT2G15490-MONOMER // AT1G73880-MONOMER // AT1G07250-MONOMER // AT4G34138-MONOMER // AT1G30530-MONOMER // AT2G36790-MONOMER // AT4G34135-MONOMER // AT1G06000-MONOMER // MONOMER-17875	AT4G15260 // AT3G21790 // AT3G21760 // AT2G36750 // AT2G36800 // AT5G17050 // AT3G21750 // AT1G73880 // AT2G29750 // AT2G29730 // AT1G07250 // AT2G29710 // AT3G46660 // AT5G17050 // AT5G17030 // AT4G34131 // AT4G15280 // AT3G21800 // AT3G21750 // AT2G29730 // AT2G15480 // AT1G07260 // AT1G07240 // AT1G01420 // AT3G46700 // AT5G37950 // AT5G38010 // AT5G38040 // AT3G46680 // AT3G46690 // AT3G46720 // AT3G46650 // AT1G51210 // AT2G36760 // AT2G36770 // AT2G36780 // AT3G53150 // AT4G34131 // AT5G03490 // AT5G59590 // AT5G59580 // AT3G46670 // AT3G46660 // AT3G16520 // AT2G43840 // AT2G36800 // AT2G29750 // AT2G29740 // AT2G26480 // AT2G23260 // AT2G15490 // AT1G73880 // AT1G07250 // AT4G34138 // AT1G30530 // AT2G36790 // AT4G34135 // AT1G06000 // G-15517	Super-Pathways	RXN-14000 // RXN-14012 // RXN-13797 // RXN-14011 // RXNQT-4161 // RXNQT-4162 // RXN-8271 // RXN-8268 // RXN-8267 // RXN-8265 // RXN-8264 // RXN1F-462 // RXN-14009 // RXN-8289 // RXN-14008 // RXN-13830 // RXN-8270 // RXN-8266 // RXN-8263 // RXN1F-475 // RXN1F-474 // RXN1F-443 // RXN1F-461		
PWY-5717	2-HYDROXYFORMONONETIN // VESTITONE // CPD-3402 // CPD-3441 // CPD-3628 // CPD-3629 // NADPH // CPD-3630 // NADP // Ox-NADPH-Hemoprotein-Reductases // CPD-9539 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // CPD-3631 // CPD-14741 // UDP // CPD-12575 // CO-A // MALONYL-COA // MALONATE // PROTON // CPD-4562 // Glucopyranose // FORMONONETIN // ONONIN // WATER	MONOMER-5043 // MONOMER-5681 // MONOMER-5044 // MONOMER-5841 // MONOMER-5781 // MONOMER-5881 // MONOMER-5882 // MONOMER-5883 // MONOMER-5884 // MONOMER-5361 // MONOMER-6243 // MONOMER-6244 // MONOMER-6247 // MONOMER-6248	G-5706 // G-5707 // G-4761	Super-Pathways	RXN-4764 // RXN-4763 // RXN-4762 // RXN-4761 // RXN-13700 // RXN-3762 // RXN-3768 // RXN-3766 // RXN-3765 // RXN-3763 // RXN-3602 // RXN-3601 // RXN-3562 // ISOFLAVONE-2-HYDROXYLASE-RXN		
PWY-5121	CARBON-DIOXIDE // PYRUVATE // GAP // NADPH // DEOXYXYLULOSE-5P // NADP // CMP // Reduced-ferredoxins // Oxidized-ferredoxins // ADP // 2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET // ATP // 4-CYTIDINE-5-DIPHOSPHO-2-C // 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE // CTP // Reduced-flavodoxins // 2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE // HYDROXY-METHYL-BUTENYL-DIP // Oxidized-flavodoxins // WATER // PROTON // CPD-4211 // GERANYL-PP // PPI // GERANYLGERANYL-PP // DELTA3-ISOPENTENYL-PP // FARNESYL-PP	GLYMA.18G148700-MONOMER // MONOMERN7V-48084 // GLYMA.13G213500-MONOMER // GLYMA.13G093932-MONOMER // MONOMERN7V-49787 // MONOMERN7V-50512 // MONOMERN7V-51021 // MONOMERN7V-51831 // MONOMERN7V-51875 // MONOMERN7V-53663 // MONOMERN7V-53845 // AT5G11380-MONOMER // MONOMERQT-8634 // AT4G15560-MONOMER // GLYMA.05G037500-MONOMER // GLYMA.13G093866-MONOMER // GLYMA.17G089600-MONOMER // MONOMERN7V-53613 // GLYMA.16G089000-MONOMER // AT5G62790-MONOMER // GLYMA.11G021400-MONOMER // AT1G63970-MONOMER // MONOMERN7V-50219 // GLYMA.12G046000-MONOMER // AT4G34350-MONOMER-9581 // MONOMERN7V-49225 // GLYMA.20G046800-MONOMER // MONOMERN7V-53629 // AT2G26930-MONOMER // GLYMA.17G002400-MONOMER // AT2G02497-MONOMER // AT2G02500-MONOMER // MONOMERN7V-48950 // MONOMERN7V-50113 // MONOMERN7V-53574 // AT2G34630-MONOMER // GLYMA.09G015600-MONOMER // GLYMA.11G197200-MONOMER // GLYMA.15G121400-MONOMER // AT3G14550-MONOMER // AT3G32040-MONOMER // AT3G29430-MONOMER // AT1G49530-MONOMER // AT2G23800-MONOMER // AT4G36810-MONOMER // AT2G18640-MONOMER // AT4G17190-MONOMER // AT5G47770-MONOMER // GLYMA.18G242300-MONOMER // MONOMERN7V-49462 // GLYMA.09G250200-MONOMER // MONOMERQT-9261 // AT3G02780-MONOMER // AT5G16440-MONOMER // GLYMA.19G144800-MONOMER // GLYMA.19G138800-MONOMER // GLYMA.14G023000-MONOMER // GLYMA.13G326600-MONOMER // GLYMA.11G063900-MONOMER // GLYMA.08G093400-MONOMER // GLYMA.02G059000-MONOMER // GLYMA.16G141700-MONOMER // AT2G18620-MONOMER // AT3G20160-MONOMER // AT3G59380-MONOMER // AT3G14510-MONOMER // AT3G14530-MONOMER // AT4G38460-MONOMER // AT1G78510-MONOMER // AT1G17050-MONOMER // AT1G36623-MONOMER // GLYMA.15G243100-MONOMER // GLYMA.13G262200-MONOMER // AT4G36810-MONOMER // AT2G23800-MONOMER // AT3G14550-MONOMER // AT2G18640-MONOMER // AT3G32040-MONOMER // AT3G29430-MONOMER // AT1G49530-MONOMER	GLYMA.18G148700 // GLYMA.06G071300 // GLYMA.13G213500 // GLYMA.13G093932 // GLYMA.09G200500 // GLYMA.07G252600 // GLYMA.15G099300 // GLYMA.08G277100 // GLYMA.08G277000 // GLYMA.17G021800 // GLYMA.04G069600 // AT5G11380 // AT3G21500 // AT4G15560 // GLYMA.05G037500 // GLYMA.13G093866 // GLYMA.17G089600 // GLYMA.17G066500 // GLYMA.16G089000 // AT5G62790 // GLYMA.11G021400 // AT1G63970 // GLYMA.11G120900 // GLYMA.12G046000 // AT4G34350 // GLYMA.13G072700 // GLYMA.20G046800 // GLYMA.17G179800 // AT2G26930 // GLYMA.17G002400 // AT2G02497 // AT2G02500 // GLYMA.05G100400 // GLYMA.11G151600 // GLYMA.17G166000 // AT2G34630 // GLYMA.09G015600 // GLYMA.11G197200 // GLYMA.15G121400 // AT3G14550 // AT3G32040 // AT3G29430 // AT1G49530 // AT2G23800 // AT4G36810 // AT2G18640 // AT4G17190 // AT5G47770 // GLYMA.18G242300 // GLYMA.13G072500 // GLYMA.09G250200 // AT1G79690 // AT3G02780 // AT5G16440 // GLYMA.19G144800 // GLYMA.19G138800 // GLYMA.14G023000 // GLYMA.13G326600 // GLYMA.11G063900 // GLYMA.08G093400 // GLYMA.02G059000 // GLYMA.16G141700 // AT2G18620 // AT3G20160 // AT3G59380 // AT3G14510 // AT3G14530 // AT4G38460 // AT1G78510 // AT1G17050 // AT1G36623 // GLYMA.15G243100 // GLYMA.13G262200 // AT4G36810 // AT2G23800 // AT3G14550 // AT2G18640 // AT3G32040 // AT3G29430 // AT1G49530	DITERPENOID-SYN // GGPP-Biosynthesis // Super-Pathways	FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN // RXN-15878 // IPPISOM-RXN // 2.7.7.60-RXN // 2.7.1.148-RXN // ISPH2-RXN // RXN0-884 // RXN0-302 // DXPREDISOM-RXN // DXS-RXN		
PWY-5910	PROT-CYS // Protein-S-Acetyl-Cysteines // ACETOACETYL-COA // WATER // ACETYL-COA // 3-HYDROXY-3-METHYL-GLUTARYL-COA // NADPH // NADP // CO-A // PROTON // MEVALONATE // CPD-499 // ADP // CARBON-DIOXIDE // Pi // CPD-641 // ATP // CPD-4211 // GERANYL-PP // PPI // GERANYLGERANYL-PP // DELTA3-ISOPENTENYL-PP // FARNESYL-PP	AT5G47720-MONOMER // AT5G48230-MONOMER // AT4G11820-MONOMER // AT2G17370-MONOMER // AT1G76490-MONOMER // AT5G27450-MONOMER // AT1G31910-MONOMER // AT3G54250-MONOMER // CPLX-7041 // AT2G34630-MONOMER // AT3G14550-MONOMER // AT3G32040-MONOMER // AT3G29430-MONOMER // AT1G49530-MONOMER // AT2G23800-MONOMER // AT4G36810-MONOMER // AT2G18640-MONOMER // AT4G17190-MONOMER // AT5G47770-MONOMER // MONOMERQT-9261 // AT3G02780-MONOMER // AT5G16440-MONOMER // AT2G18620-MONOMER // AT3G20160-MONOMER // AT3G59380-MONOMER // AT3G14510-MONOMER // AT3G14530-MONOMER // AT4G38460-MONOMER // AT1G78510-MONOMER // AT1G17050-MONOMER // AT1G36623-MONOMER // AT4G36810-MONOMER // AT2G23800-MONOMER // AT3G14550-MONOMER // AT2G18640-MONOMER // AT3G32040-MONOMER // AT3G29430-MONOMER // AT1G49530-MONOMER	AT5G47720 // AT5G48230 // AT4G11820 // AT2G17370 // AT1G76490 // AT5G27450 // AT1G31910 // AT3G54250 // AT2G38700 // AT2G34630 // AT3G14550 // AT3G32040 // AT3G29430 // AT1G49530 // AT2G23800 // AT4G36810 // AT2G18640 // AT4G17190 // AT5G47770 // AT1G79690 // AT3G02780 // AT5G16440 // AT2G18620 // AT3G20160 // AT3G59380 // AT3G14510 // AT3G14530 // AT4G38460 // AT1G78510 // AT1G17050 // AT1G36623 // AT4G36810 // AT2G23800 // AT3G14550 // AT2G18640 // AT3G32040 // AT3G29430 // AT1G49530	DITERPENOID-SYN // GGPP-Biosynthesis // Super-Pathways	FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN // IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN		
PWY-5052	CPD-6228 // CPD-6202 // NADPH // NADP // CPD-695 // CPD1F-86 // CPD1F-96 // CPD1F-139 // CPD-6203 // CPD-10332 // CPD1F-97 // CPD-6201 // CPD1F-120 // CPD-6221 // CPD1F-84 // CPD1F-137 // CPD1F-134 // Acceptor // CPD1F-140 // Donor-H2 // GIBBERELLIN // CARBON-DIOXIDE // SUC // CPD-15218 // CPD-15217 // 2-KETOGLUTARATE // GERANYLGERANYL-PP // PPI // ENT-COPALYL-DIPHOSPHATE // ENT-KAUR-16-EN-19-AL // ENT-KAUR-16-EN-19-OL // CPD1F-128 // PROTON // CPD1F-95 // CPD1F-138 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD1F-136 // CPD1F-132 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	AT5G24900-MONOMER // AT5G24910-MONOMER // AT5G51810-MONOMER // AT5G51310-MONOMER // AT4G21690-MONOMER // AT1G14120-MONOMER // AT1G14130-MONOMER // AT1G80330-MONOMER // AT1G60980-MONOMER // AT1G44090-MONOMER // MONOMERQT-8206 // AT4G23710-MONOMER // AT3G24710-MONOMER // MONOMERQT-8849 // AT3G02280-MONOMER // AT4G23340-MONOMER // AT4G25420-MONOMER // AT5G07200-MONOMER // AT5G51810-MONOMER // AT1G80340-MONOMER // AT1G15550-MONOMER // AT4G02780-MONOMER // AT1G79460-MONOMER // AT5G25900-MONOMER // AT5G25900-MONOMER // AT1G05160-MONOMER // AT2G32440-MONOMER // AT1G05160-MONOMER // AT2G32440-MONOMER	AT5G24900 // AT5G24910 // AT5G51810 // AT5G51310 // AT4G21690 // AT1G14120 // AT1G14130 // AT1G80330 // AT1G60980 // AT1G44090 // AT4G25950 // AT4G23710 // AT3G24710 // AT3G01390 // AT3G02280 // AT4G23340 // AT4G25420 // AT5G07200 // AT5G51810 // AT1G80340 // AT1G15550 // AT4G02780 // AT1G79460 // AT5G25900 // AT5G25900 // AT1G05160 // AT2G32440 // AT1G05160 // AT2G32440	GIBBERELLIN-SYN // Super-Pathways	1.14.13.79-RXN // RXN1F-160 // RXN1F-161 // 1.14.13.78-RXN // RXN-5242 // RXN-7580 // 4.2.3.19-RXN // 5.5.1.13-RXN // RXN-14327 // RXN-14318 // RXN-14317 // RXN1F-165 // RXN-6541 // RXN1F-99 // RXN-6523 // RXN1F-164 // RXN1F-163 // RXN1F-162 // RXN-6524 // RXN1F-170 // RXN1F-101 // RXN1F-169 // RXN1F-168 // RXN1F-143 // RXN1F-167 // RXN-7591 // RXN-7590 // RXN-6522 // RXN-7589 // RXN-6544		
PWY-5053	GERANYLGERANYL-PP // PPI // ENT-COPALYL-DIPHOSPHATE // ENT-KAUR-16-EN-19-AL // ENT-KAUR-16-EN-19-OL // CPD1F-128 // PROTON // CPD1F-95 // CPD1F-138 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD1F-136 // CPD1F-132 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases			GIBBERELLIN-SYN // Super-Pathways	1.14.13.79-RXN // RXN1F-160 // RXN1F-161 // 1.14.13.78-RXN // RXN-5242 // RXN-7580 // 4.2.3.19-RXN // 5.5.1.13-RXN		
PWY18C3-14	CPD-18857 // CPD-18854 // NAD-P-OR-NOP // CPD-18856 // CPD-18855 // OXYGEN-MOLECULE // NADH-P-OR-NOP // PROTON // GERANYLGERANYL-PP // CPD-14803 // CPD-18878 // PPI // CPD-10110 // CPD-12745 // WATER	MONOMER18C3-16 // MONOMER18C3-17 // MONOMER18C3-18 // MONOMER18C3-19 // MONOMER18C3-20 // MONOMER18C3-47 // MONOMER18C3-48 // MONOMER18C3-49	G18C3-15 // G18C3-16 // G18C3-17 // G18C3-18 // G18C3-19 // G18C3-44 // G18C3-45	DITERPENOID-SYN // Super-Pathways	RXN-9454 // RXN18C3-50 // RXN-13770 // RXN-11772 // RXN18C3-23 // RXN18C3-22 // RXN18C3-21 // RXN18C3-20		
PWY18C3-6	Oxidized-adrenal-ferredoxins // Reduced-adrenal-ferredoxins // CPD-14702 // CPD-18643 // CPD-18646 // OXYGEN-MOLECULE // Deaminated-Amine-Donors // CPD-18645 // Aminated-Amine-Donors // WATER // CPD-18644 // CPD-22268 // CPD-22269 // CPD-22270 // CPD-17697 // CPD-18641 // CPD-18640 // CPD-17696 // CPD-18639 // UDP-D-XYLOSE // CPD-22265 // NADPH // CPD-22266 // NADP // CPD-22267 // CHOLESTEROL // CPD-13081 // CPD-12575 // PROTON // UDP // CPD-18738 // CPD-13080 // CPD-14553	MONOMER18C3-2 // MONOMER18C3-3 // MONOMER18C3-4 // MONOMER18C3-9 // MONOMER18C3-10 // MONOMER18C3-11 // MONOMER18C3-12 // MONOMER18C3-13 // MONOMER18C3-8 // MONOMER-13434	G18C3-2 // G18C3-3 // G18C3-4 // G18C3-9 // G18C3-10 // G18C3-11 // G18C3-12 // G18C3-8 // G-10226	ALKALOIDS-SYN // Super-Pathways	RXN18C3-13 // RXN-12123 // RXN-20585 // RXN-20584 // RXN-20583 // RXN18C3-12 // RXN18C3-11 // RXN18C3-10 // RXN18C3-9 // RXN18C3-8 // RXN-20588 // RXN-20587 // RXN-20586 // RXN18C3-7 // RXN18C3-6 // RXN18C3-5 // RXN18C3-4 // RXN18C3-3 // RXN-7875		
PWY-561	E- // PPI // AMP // CPD66-39 // L-3-HYDROXYACYL-COA // 3-KETOACYL-COA // HYDROGEN-PEROXIDE // TRANS-D2-ENOYL-COA // Saturated-Fatty-Acyl-CoA // OXYGEN-MOLECULE // GLYOX // THREO-DS-ISO-CITRATE // CO-A // ACETYL-COA // CIS-ACONITATE // CIT // NADH // PROTON // NAD // WATER // MAL // ADP // PHOSPHO-ENOL-PYRUVATE // CARBON-DIOXIDE // OXALACETIC_ACID // ATP // FUM // ETR-Quinols // ETR-Quinones // SUC	AT5G27600-MONOMER // AT3G05970-MONOMER // AT4G29010-MONOMER // AT3G15290-MONOMER // AT3G06860-MONOMER // AT5G48880-MONOMER // AT1G04710-MONOMER // AT2G33150-MONOMER // AT1G06310-MONOMER // AT3G06690-MONOMER // AT2G35690-MONOMER // CPLX-7064 // AT1G06290-MONOMER // CPLX-7063 // CPLX-7062 // AT5G03860-MONOMER // AT3G21720-MONOMER // AT3G58740-MONOMER // MONOMERQT-8426 // AT2G11270-MONOMER // AT2G44350-MONOMER // AT3G58750-MONOMER // AT2G42790-MONOMER // AT2G05710-MONOMER // AT4G35830-MONOMER // AT4G26970-MONOMER // AT5G54950-MONOMER // AT2G05710-MONOMER // AT4G26970-MONOMER // AT4G35830-MONOMER // AT2G47510-MONOMER // AT5G50950-MONOMER // AT3G04530-MONOMER // MONOMERQT-7620 // AT4G37870-MONOMER // AT5G56720-MONOMER // AT1G04410-MONOMER // AT5G43330-MONOMER // AT3G53910-MONOMER // CPLXQT-54 // CPLXQT-53 // CPLXQT-52 // AT2G22780-MONOMER // AT3G47520-MONOMER // AT1G53240-MONOMER // AT3G15020-MONOMER // AT5G09660-MONOMER // AT5G62575-MONOMER // AT3G47833-MONOMER // AT2G46390-MONOMER // AT1G47420-MONOMER // AT1G08480-MONOMER // AT2G46505-MONOMER // AT3G27380-MONOMER // CPLX-5301	AT5G27600 // AT3G05970 // AT4G29010 // AT3G15290 // AT3G06860 // AT5G48880 // AT1G04710 // AT2G33150 // AT1G06310 // AT3G06690 // AT2G35690 // AT3G51840 // AT1G06290 // AT5G65110 // AT4G16760 // AT5G03860 // AT3G21720 // AT3G58740 // AT3G60100 // AT2G11270 // AT2G44350 // AT3G58750 // AT2G42790 // AT2G05710 // AT4G35830 // AT4G26970 // AT5G54950 // AT2G05710 // AT4G26970 // AT4G35830 // AT2G47510 // AT5G50950 // AT3G04530 // AT5G65690 // AT4G37870 // AT5G56720 // AT1G04410 // AT5G43330 // AT3G53910 // AT4G00570 // AT2G13560 // AT2G22780 // AT3G47520 // AT1G53240 // AT3G15020 // AT5G09660 // AT5G62575 // AT3G47833 // AT2G46390 // AT1G47420 // AT1G08480 // AT2G46505 // AT3G27380 // AT5G66760 // AT5G40650 // AT4G32210 // AT2G46505 // AT1G47420 // AT1G08480 // AT3G47833 // AT2G46390	Super-Pathways // Energy-Metabolism	RXN-14971 // PEPCARBOXYKIN-RXN // FUMHYDR-RXN // MALATE-DEH-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN // RXN-11026 // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // ACYLCOASYN-RXN	ETR-Quinones // SUC // NAD // ATP // WATER	ETR-Quinols // PROTON // NADH // CARBON-DIOXIDE // PHOSPHO-ENOL-PYRUVATE // ADP
PWY-7228	GDP // Red-Thioredoxin // Ox-Thioredoxin // WATER // ADP // DGTP // DGDP // ATP	CPLXQT-14 // CPLXQT-13 // CPLXQT-6 // AT4G23895-MONOMER // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER // CPLX-8615	AT3G27060 // AT5G40942 // AT2G21790 // AT3G23580 // AT4G23895 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310 // AT4G09320	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	DGDPKIN-RXN // GDPREDUCT-RXN		
PWY-6595	Pi // GMP // XANTHOSINE // NADH // URATE // NAD // XANTHINE // AMMONIUM // PROTON // GUANINE // D-Ribofuranose // GUANOSINE // WATER	AT2G36310-MONOMER // MONOMER-11783 // MONOMERN7V-49270 // GLYMA.09G080100-MONOMER // GLYMA.15G186100-MONOMER // MONOMERN7V-52000 // GLYMA.20G228200-MONOMER // MONOMERN7V-53617 // GLYMA.04G156500-MONOMER // MONOMERQT-7841 // AT3G05300-MONOMER // MONOMER-11785 // MONOMERN7V-53824 // MONOMERN7V-53671 // GLYMA.17G041100-MONOMER // MONOMERN7V-53555 // GLYMA.20G195000-MONOMER // GLYMA.08G191700-MONOMER // GLYMA.10G195001-MONOMER // GLYMA.01G046200-MONOMER // GLYMA.01G238400-MONOMER // MONOMERN7V-50970 // GLYMA.15G025600-MONOMER // GLYMA.07G008700-MONOMER // MONOMERN7V-50195 // MONOMERN7V-49691 // GLYMA.13G119100-MONOMER // GLYMA.14G074800-MONOMER // MONOMERN7V-48440 // MONOMERN7V-48168 // MONOMERQT-9307 // MONOMERQT-9098 // AT2G38680-MONOMER // AT4G14930-MONOMER // AT1G75210-MONOMER // AT5G48960-MONOMER // CPLX-6982 // MONOMER-11776 // MONOMERN7V-51138 // AT4G34900-MONOMER // AT4G37500-MONOMER // AT4G31196-MONOMER // AT4G02180-MONOMER // AT3G04390-MONOMER // CPLX-1105 // CPLX-6985 // AT4G34890-MONOMER	AT2G36310 // GLYMA.13G117500 // GLYMA.09G080100 // GLYMA.15G186100 // GLYMA.10G160200 // GLYMA.20G228200 // GLYMA.17G042400 // GLYMA.04G156500 // AT5G28050 // AT3G05300 // GLYMA.04G031800 // GLYMA.17G250700 // GLYMA.17G041100 // GLYMA.17G069800 // GLYMA.20G195000 // GLYMA.08G191700 // GLYMA.10G195001 // GLYMA.01G046200 // GLYMA.01G238400 // GLYMA.15G187000 // GLYMA.15G025600 // GLYMA.07G008700 // GLYMA.11G005100 // GLYMA.09G064600 // GLYMA.13G119100 // GLYMA.14G074800 // GLYMA.14G136600 // GLYMA.06G031900 // AT1G72880 // AT2G23890 // AT2G38680 // AT4G14930 // AT1G75210 // AT5G48960 // GLYMA.15G034000 // AT4G34900 // AT4G37500 // AT4G31196 // AT4G02180 // AT3G04390 // AT4G34890	Guanosine-Nucleotides-Degradation // Super-Pathways	RXN0-366 // GUANINE-DEAMINASE-RXN // RXN0-901 // GUANOSINE-DEAMINASE-RXN // RXN-7609 // RXN0-363		
PWY-5478	UDP // CPD-12575 // CPD-183 // 1236-TETRAKIS-O-GALLOYL-BETA-D-GLUCOS // CPD-8948 // CPD-8947 // 1-O6-O-DIGALLOYL-BETA-D-GLUCOSE // WATER // CPD-8950 // CPD-8949 // OXYGEN-MOLECULE // 12346-PENTAKIS-O-GALLOYL-BETA-D-GLUC // CPD-8955 // CPD-8953 // CPD-8957 // CPD-8954 // Glucopyranose // CPD-8956 // CPD-8952 // 1-O-GALLOYL-BETA-D-GLUCOSE	MONOMER-12993 // MONOMER-12994 // MONOMER-18489 // MONOMER-12995 // MONOMER-12996 // MONOMER-12999 // MONOMER-13000 // MONOMER-12997 // MONOMER-13001 // CPLX-7312 // CPLX-7313 // MONOMER-13007 // MONOMER-13005 // MONOMER-13006 // MONOMER-13003	G-17971	TANNIN-SYN // Super-Pathways	RXN-8727 // RXN-8726 // RXN-8725 // RXN-8724 // RXN-8723 // RXN-8722 // RXN-8721 // RXN-8720 // RXN-8719 // RXN-8718 // 2.3.1.143-RXN // RXN-8717 // RXN-8716 // 2.3.1.90-RXN // GALLATE-1-BETA-GLUCOSYLTRANSFERASE-RXN		
PWY-7341	CPD-7995 // UNKNOWN // TROPINONE // NADPH // NADP // CO-A // CPD-5922 // TROPINE // CPD-7996 // L-HYOSCYAMINE // CARBON-DIOXIDE // SUC // SCOPOLAMINE // CPD-2202 // 2-KETOGLUTARATE // ADENOSYL-HOMO-CYS // PROTON // S-ADENOSYLMETHIONINE // PUTRESCINE // HYDROGEN-PEROXIDE // AMMONIUM // CPD-394 // OXYGEN-MOLECULE // WATER // CPD-7994 // CPD-7993	MONOMER-12434 // CPLX-7161 // CPLX-7162 // MONOMER-13848 // MONOMER-16824 // MONOMER-13617 // MONOMER-12447 // MONOMER-13616 // MONOMER-16825	G-9559 // G-10563 // G-10382 // G-9566 // G-10381 // G-14655	Super-Pathways // TROPANE-ALKALOIDS	RXN-8246 // RXN-8244 // PUTRESCINE-N-METHYLTRANSFERASE-RXN // 6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN // HYOSCYAMINE-6-DIOXYGENASE-RXN // RXN-8255 // RXN-8254 // TROPINE-DEHYDROGENASE-RXN // RXN-8253 // RXN-8251 // RXN-8252	2-KETOGLUTARATE // OXYGEN-MOLECULE // CPD-5922 // NADPH // CPD-7994	SCOPOLAMINE // SUC // WATER // CO-A // NADP
